id,電話番号,家賃,管理費_共益費,敷金,礼金,保証金,敷引_償却,所在地,駅徒歩,間取り,専有面積,築年数,階,向き,建物種別,間取り詳細,構造,階建,築年月,エネルギー消費性能,断熱性能,目安光熱費,損保,駐車場,入居,取引態様,条件,取り扱い店舗物件コード,SUUMO物件コード,総戸数,情報更新日,次回更新日,契約期間,保証会社,ほか諸費用,備考,create_at
37,06-6307-3339,6.36万円,4500円,-,-,-,-,大阪府大阪市淀川区三津屋北２,阪急神戸線/神崎川駅 歩8分,1K,21.46m2,新築,3階,西,マンション,洋6 K,鉄筋コン,3階/12階建,2025年8月,-,-,-,要,平置駐,即,仲介,ペット相談,110974377,100458132909,71戸,2025/09/03,次回更新日は情報更新日より８日以内,,保証会社利用必 初回３０％　決済サービス料３３０円／月　更新料２万円／年,スマサポコンシェル　１３２０円（月額）,［退去時費用　クリーニング代：３３，０００円、鍵交換代：２７，５００円※故意・過失等別途実費］短期解約違約金あり。　保証会社:ルームバンクインシュア,2025-09-03 04:33:25
38,06-4305-4464,6.35万円,4800円,-,-,-,-,大阪府大阪市淀川区三津屋北２,"阪急神戸線/神崎川駅 歩8分
阪急宝塚線/三国駅 歩22分
ＪＲ東西線/加島駅 歩24分",1K,21.46m2,新築,3階,西,マンション,K,鉄筋コン,3階/12階建,2025年8月,-,-,-,要,近隣90m16500円,即,仲介,ペット相談,110771304,100450744697,-,2025/09/02,次回更新日は情報更新日より８日以内,,保証会社利用必 初回１００％更新なしｏｒ初回５０％更新１万／年,,近隣駐車場有り　保証会社:全保連,2025-09-03 04:33:40
39,06-4305-4464,6.35万円,4800円,-,-,-,-,大阪府大阪市淀川区三津屋北２,"阪急神戸線/神崎川駅 歩8分
阪急宝塚線/三国駅 歩22分
ＪＲ東西線/加島駅 歩24分",1K,21.46m2,新築,3階,西,マンション,K,鉄筋コン,3階/12階建,2025年8月,-,-,-,要,近隣90m16500円,即,仲介,ペット相談,110771327,100450744785,-,2025/09/02,次回更新日は情報更新日より８日以内,,保証会社利用必 初回１００％更新なしｏｒ初回５０％更新１万／年,,近隣駐車場有り　保証会社:全保連,2025-09-03 08:18:08
40,06-4305-4464,6.35万円,4800円,-,-,-,-,大阪府大阪市淀川区三津屋北２,"阪急神戸線/神崎川駅 歩8分
阪急宝塚線/三国駅 歩22分
ＪＲ東西線/加島駅 歩24分",1K,20.72m2,新築,4階,西,マンション,K,鉄筋コン,4階/12階建,2025年8月,-,-,-,要,近隣90m16500円,即,仲介,ペット相談,110771317,100450745038,-,2025/09/02,次回更新日は情報更新日より８日以内,,保証会社利用必 初回１００％更新なしｏｒ初回５０％更新１万／年,,近隣駐車場有り　保証会社:全保連,2025-09-03 08:18:12
41,0120-321586,6.39万円,4500円,-,-,-,-,大阪府大阪市淀川区三津屋北２,"阪急神戸線/神崎川駅 歩8分
ＪＲ東西線/加島駅 歩23分",1K,22.57m2,新築,2階,-,マンション,-,鉄筋コン,2階/12階建,2025年8月,-,-,-,2.2万円2年,-,即,仲介,単身者可/ペット相談/事務所利用相談/ルームシェア相談,hphp0000351250,100450021605,-,2025/09/02,次回更新日は情報更新日より１５日以内,普通借家 2年,保証会社利用必 ルームバンクインシュア　初回保証料：総賃料の30％,スマサポコンシェル 1320円/月,,2025-09-03 04:34:03
42,078-855-9599,6.39万円,4500円,-,-,-,-,大阪府大阪市淀川区三津屋北２,"阪急神戸線/神崎川駅 歩7分
阪急神戸線/十三駅 歩20分
ＪＲ東海道本線/塚本駅 歩22分",1K,21.46m2,新築,4階,西,マンション,洋6,鉄筋コン,4階/12階建,2025年8月,-,-,-,-,-,即,仲介,単身者可/二人入居可/ペット相談,126230,100449839644,-,2025/09/02,次回更新日は情報更新日より１５日以内,普通借家 2年,保証会社利用必 初回保証料30％,,,2025-09-03 04:34:11
43,06-6755-8023,6.39万円,4500円,-,-,-,-,大阪府大阪市淀川区三津屋北２,"阪急神戸線/神崎川駅 歩8分
ＪＲ東西線/加島駅 歩23分
阪急神戸線/十三駅 歩23分",1K,21.46m2,新築,4階,西,マンション,洋6,鉄筋コン,4階/12階建,2025年8月,-,-,-,2.2万円2年,-,即,仲介,ペット相談,1901199,100457597696,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,保証会社利用必 初回総賃料の30％、以後1年更新で20000円 、決済サービス料330円/月,更新料　27500円　スマサポコンシェル　月額1320円,アンティホームなら仲介手数料無料です。物件の詳細や初期費用ついてはご遠慮なくご相談ください。また分割ローンやクレジットカード決済も可能です。ご案内の際は現地待ち合わせ、送迎サービスもございます。お気軽にお申し付けください。,2025-09-03 04:34:18
44,06-6755-8023,6.4万円,4400円,-,-,-,-,大阪府大阪市淀川区三津屋北２,"阪急神戸線/神崎川駅 歩8分
ＪＲ東西線/加島駅 歩23分
阪急神戸線/十三駅 歩23分",1K,21.09m2,新築,4階,西,マンション,洋6,鉄筋コン,4階/12階建,2025年8月,-,-,-,2.2万円2年,-,即,仲介,ペット相談,1900848,100457603434,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,保証会社利用必 初回総賃料の30％、以後1年更新で20000円 、決済サービス料330円/月,更新料　27500円　スマサポコンシェル　月額1320円,アンティホームなら仲介手数料無料です。物件の詳細や初期費用ついてはご遠慮なくご相談ください。また分割ローンやクレジットカード決済も可能です。ご案内の際は現地待ち合わせ、送迎サービスもございます。お気軽にお申し付けください。,2025-09-03 04:36:18
45,06-6476-7588,6.4万円,4400円,-,-,-,-,大阪府大阪市淀川区三津屋北２,"阪急神戸線/神崎川駅 歩7分
阪急神戸線/十三駅 歩22分
阪急宝塚線/十三駅 歩22分",1K,21.09m2,新築,4階,西,マンション,洋6,鉄筋コン,4階/12階建,2025年8月,-,-,-,要,近隣200m16000円,即,仲介,単身者可/ペット相談,67147756,100453767117,-,2025/09/02,次回更新日は情報更新日より１５日以内,普通借家 2年,保証会社利用必 初期費用は総賃料の３０％,室内清掃費用３３０００円,阪急電鉄京都線十三駅徒歩22分/ファミリーマート三津屋中三丁目まで576m/ファミリーマート淀川新高二丁目まで653m/当店ではベテランスタッフが、お客様に安心して新生活を送って頂けますよう精一杯のサポートを致しますｍ（．＿．）ｍご内見の際は、現地集合やお問い合わせ物件の最寄り駅集合も可能です♪ＪＲ千里丘駅前の立地で、お立ち寄りの際も便利です（＾＾♪初期費用のクレジット決済も可能ですので、ご利用の際はスタッフまでお申し付け下さいませ（＾ｏ＾）／,2025-09-03 08:18:16
46,06-4305-4464,6.36万円,4800円,-,-,-,-,大阪府大阪市淀川区三津屋北２,"阪急神戸線/神崎川駅 歩8分
阪急宝塚線/三国駅 歩22分
ＪＲ東西線/加島駅 歩24分",1K,21.09m2,新築,3階,西,マンション,K,鉄筋コン,3階/12階建,2025年8月,-,-,-,要,近隣90m16500円,即,仲介,ペット相談,110771336,100450744703,-,2025/09/02,次回更新日は情報更新日より８日以内,,保証会社利用必 初回１００％更新なしｏｒ初回５０％更新１万／年,,近隣駐車場有り　保証会社:全保連,2025-09-03 08:19:25
47,06-4305-4464,6.36万円,4800円,-,-,-,-,大阪府大阪市淀川区三津屋北２,"阪急神戸線/神崎川駅 歩8分
阪急宝塚線/三国駅 歩22分
ＪＲ東西線/加島駅 歩24分",1K,21.09m2,新築,3階,西,マンション,K,鉄筋コン,3階/12階建,2025年8月,-,-,-,要,近隣90m16500円,即,仲介,ペット相談,110771212,100450744616,-,2025/09/02,次回更新日は情報更新日より８日以内,,保証会社利用必 初回１００％更新なしｏｒ初回５０％更新１万／年,,近隣駐車場有り　保証会社:全保連,2025-09-03 08:19:29
48,06-6307-3339,6.38万円,4800円,-,-,-,-,大阪府大阪市淀川区三津屋北２,阪急神戸線/神崎川駅 歩8分,1K,22.94m2,新築,2階,西,マンション,洋6.4 K,鉄筋コン,2階/12階建,2025年8月,-,-,-,要,平置駐,即,仲介,ペット相談,110756151,100450122075,71戸,2025/09/03,次回更新日は情報更新日より８日以内,,保証会社利用必 初回３０％　決済サービス料３３０円／月　更新料２万円／年,スマサポコンシェル　１３２０円（月額）,［退去時費用　クリーニング代：３３，０００円、鍵交換代：２７，５００円※故意・過失等別途実費］短期解約違約金あり。　保証会社:ルームバンクインシュア,2025-09-03 04:37:19
49,06-6755-8023,6.39万円,4700円,-,-,-,-,大阪府大阪市淀川区三津屋北２,"阪急神戸線/神崎川駅 歩8分
ＪＲ東西線/加島駅 歩23分
阪急神戸線/十三駅 歩23分",1K,22.57m2,新築,2階,西,マンション,洋6.2,鉄筋コン,2階/12階建,2025年8月,-,-,-,2.2万円2年,-,即,仲介,ペット相談,1848091,100457603085,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,保証会社利用必 初回総賃料の30％、以後1年更新で20000円 、決済サービス料330円/月,更新料　27500円　スマサポコンシェル　月額1320円,アンティホームなら仲介手数料無料です。物件の詳細や初期費用ついてはご遠慮なくご相談ください。また分割ローンやクレジットカード決済も可能です。ご案内の際は現地待ち合わせ、送迎サービスもございます。お気軽にお申し付けください。,2025-09-03 04:35:10
50,06-4305-4464,6.39万円,4800円,-,-,-,-,大阪府大阪市淀川区三津屋北２,"阪急神戸線/神崎川駅 歩8分
阪急宝塚線/三国駅 歩22分
ＪＲ東西線/加島駅 歩24分",1K,22.57m2,新築,2階,西,マンション,K,鉄筋コン,2階/12階建,2025年8月,-,-,-,要,近隣90m16500円,即,仲介,ペット相談,110771192,100450744830,-,2025/09/02,次回更新日は情報更新日より８日以内,,保証会社利用必 初回１００％更新なしｏｒ初回５０％更新１万／年,,近隣駐車場有り　保証会社:全保連,2025-09-03 04:37:25
51,06-4305-4464,6.39万円,4800円,-,-,-,-,大阪府大阪市淀川区三津屋北２,"阪急神戸線/神崎川駅 歩8分
阪急宝塚線/三国駅 歩22分
ＪＲ東西線/加島駅 歩24分",1K,21.46m2,新築,4階,西,マンション,K,鉄筋コン,4階/12階建,2025年8月,-,-,-,要,近隣90m16500円,即,仲介,ペット相談,110771305,100450744709,-,2025/09/02,次回更新日は情報更新日より８日以内,,保証会社利用必 初回１００％更新なしｏｒ初回５０％更新１万／年,,近隣駐車場有り　保証会社:全保連,2025-09-03 04:35:16
52,06-4305-4464,6.39万円,4800円,-,-,-,-,大阪府大阪市淀川区三津屋北２,"阪急神戸線/神崎川駅 歩8分
阪急宝塚線/三国駅 歩22分
ＪＲ東西線/加島駅 歩24分",1K,21.46m2,新築,4階,西,マンション,K,鉄筋コン,4階/12階建,2025年8月,-,-,-,要,近隣90m16500円,即,仲介,ペット相談,110771328,100450744953,-,2025/09/02,次回更新日は情報更新日より８日以内,,保証会社利用必 初回１００％更新なしｏｒ初回５０％更新１万／年,,近隣駐車場有り　保証会社:全保連,2025-09-03 04:35:27
53,06-6476-7588,6.43万円,4400円,-,-,-,-,大阪府大阪市淀川区三津屋北２,"阪急神戸線/神崎川駅 歩7分
阪急神戸線/十三駅 歩22分
阪急宝塚線/十三駅 歩22分",1K,20.72m2,新築,6階,西,マンション,洋6,鉄筋コン,6階/12階建,2025年8月,-,-,-,要,近隣200m16000円,即,仲介,単身者可/ペット相談,67147775,100453767127,-,2025/09/02,次回更新日は情報更新日より１５日以内,普通借家 2年,保証会社利用必 初期費用は総賃料の３０％,室内清掃費用３３０００円,阪急電鉄京都線十三駅徒歩22分/ファミリーマート三津屋中三丁目まで576m/ファミリーマート淀川新高二丁目まで653m/当店ではベテランスタッフが、お客様に安心して新生活を送って頂けますよう精一杯のサポートを致しますｍ（．＿．）ｍご内見の際は、現地集合やお問い合わせ物件の最寄り駅集合も可能です♪ＪＲ千里丘駅前の立地で、お立ち寄りの際も便利です（＾＾♪初期費用のクレジット決済も可能ですので、ご利用の際はスタッフまでお申し付け下さいませ（＾ｏ＾）／,2025-09-03 04:35:30
54,06-4305-4464,6.39万円,4800円,-,-,-,-,大阪府大阪市淀川区三津屋北２,"阪急神戸線/神崎川駅 歩8分
阪急宝塚線/三国駅 歩22分
ＪＲ東西線/加島駅 歩24分",1K,20.72m2,新築,5階,西,マンション,K,鉄筋コン,5階/12階建,2025年8月,-,-,-,要,近隣90m16500円,即,仲介,ペット相談,110771318,100450744755,-,2025/09/02,次回更新日は情報更新日より８日以内,,保証会社利用必 初回１００％更新なしｏｒ初回５０％更新１万／年,,近隣駐車場有り　保証会社:全保連,2025-09-03 04:37:33
55,0120-321586,6.43万円,4500円,-,-,-,-,大阪府大阪市淀川区三津屋北２,"阪急神戸線/神崎川駅 歩8分
ＪＲ東西線/加島駅 歩23分",1K,22.57m2,新築,3階,-,マンション,-,鉄筋コン,3階/12階建,2025年8月,-,-,-,2.2万円2年,-,即,仲介,単身者可/ペット相談/事務所利用相談/ルームシェア相談,hphp0000351301,100450021790,-,2025/09/02,次回更新日は情報更新日より１５日以内,普通借家 2年,保証会社利用必 ルームバンクインシュア　初回保証料：総賃料の30％,スマサポコンシェル 1320円/月,,2025-09-03 04:36:40
56,06-6476-7588,6.43万円,4500円,-,-,-,-,大阪府大阪市淀川区三津屋北２,"阪急神戸線/神崎川駅 歩7分
阪急神戸線/十三駅 歩22分
阪急宝塚線/十三駅 歩22分",1K,21.46m2,新築,5階,西,マンション,洋6,鉄筋コン,5階/12階建,2025年8月,-,-,-,要,近隣200m16000円,即,仲介,単身者可/ペット相談,67147766,100453767183,-,2025/09/02,次回更新日は情報更新日より１５日以内,普通借家 2年,保証会社利用必 初期費用は総賃料の３０％,室内清掃費用３３０００円,阪急電鉄京都線十三駅徒歩22分/ファミリーマート三津屋中三丁目まで576m/ファミリーマート淀川新高二丁目まで653m/当店ではベテランスタッフが、お客様に安心して新生活を送って頂けますよう精一杯のサポートを致しますｍ（．＿．）ｍご内見の際は、現地集合やお問い合わせ物件の最寄り駅集合も可能です♪ＪＲ千里丘駅前の立地で、お立ち寄りの際も便利です（＾＾♪初期費用のクレジット決済も可能ですので、ご利用の際はスタッフまでお申し付け下さいませ（＾ｏ＾）／,2025-09-03 04:37:48
